Territorio.de.Identidade;CD_TI;Ano;total_ter;faixas_pop
Itaparica;24;1991;131554;Até 200 mil
Bacia do Paramirim;12;1991;141861;Até 200 mil
Itaparica;24;2000;149749;Até 200 mil
Bacia do Paramirim;12;2000;156370;Até 200 mil
Bacia do Paramirim;12;2010;163162;Até 200 mil
Itaparica;24;2010;167118;Até 200 mil
Bacia do Rio Corrente;23;1991;197457;Até 200 mil
Costa do Descobrimento;27;1991;199065;Até 200 mil
Bacia do Rio Corrente;23;2000;199927;Até 200 mil
Bacia do Rio Corrente;23;2010;200819;200 mil - 400 mil
Piemonte da Diamantina;16;1991;217324;200 mil - 400 mil
Médio Sudoeste da Bahia;8;1991;221700;200 mil - 400 mil
Piemonte da Diamantina;16;2000;223245;200 mil - 400 mil
Piemonte da Diamantina;16;2010;229633;200 mil - 400 mil
Bacia do Jacuípe;15;2010;237267;200 mil - 400 mil
Bacia do Jacuípe;15;2000;240162;200 mil - 400 mil
Médio Sudoeste da Bahia;8;2000;245334;200 mil - 400 mil
Médio Sudoeste da Bahia;8;2010;247180;200 mil - 400 mil
Piemonte Norte do Itapicuru;25;2000;249212;200 mil - 400 mil
Piemonte do Paraguaçu;14;2000;256566;200 mil - 400 mil
Piemonte do Paraguaçu;14;1991;259753;200 mil - 400 mil
Piemonte Norte do Itapicuru;25;2010;261901;200 mil - 400 mil
Bacia do Rio Grande;11;1991;265303;200 mil - 400 mil
Piemonte do Paraguaçu;14;2010;265630;200 mil - 400 mil
Bacia do Jacuípe;15;1991;273607;200 mil - 400 mil
Vale de Jequiriçá;9;1991;274916;200 mil - 400 mil
Piemonte Norte do Itapicuru;25;1991;281945;200 mil - 400 mil
Costa do Descobrimento;27;2000;292680;200 mil - 400 mil
Vale de Jequiriçá;9;2000;299592;200 mil - 400 mil
Vale de Jequiriçá;9;2010;301682;200 mil - 400 mil
Bacia do Rio Grande;11;2000;313586;200 mil - 400 mil
Baixo Sul;6;1991;314459;200 mil - 400 mil
Baixo Sul;6;2000;326286;200 mil - 400 mil
Velho Chico;2;1991;326394;200 mil - 400 mil
Extremo Sul;7;1991;334154;200 mil - 400 mil
Costa do Descobrimento;27;2010;343347;200 mil - 400 mil
Velho Chico;2;2000;349689;200 mil - 400 mil
Chapada Diamantina;3;1991;353939;200 mil - 400 mil
Baixo Sul;6;2010;359109;200 mil - 400 mil
Médio Rio de Contas;22;2010;366507;200 mil - 400 mil
Chapada Diamantina;3;2000;367105;200 mil - 400 mil
Irecê;1;1991;369165;200 mil - 400 mil
Velho Chico;2;2010;370095;200 mil - 400 mil
Chapada Diamantina;3;2010;371864;200 mil - 400 mil
Extremo Sul;7;2000;372170;200 mil - 400 mil
Semi-Árido Nordeste II;17;1991;376607;200 mil - 400 mil
Sertão do São Francisco;10;1991;380655;200 mil - 400 mil
Irecê;1;2000;381535;200 mil - 400 mil
Médio Rio de Contas;22;2000;389580;200 mil - 400 mil
Médio Rio de Contas;22;1991;390182;200 mil - 400 mil
Sertão Produtivo;13;1991;393247;200 mil - 400 mil
Bacia do Rio Grande;11;2010;398034;200 mil - 400 mil
Semi-Árido Nordeste II;17;2000;400263;400 mil - 600 mil
Irecê;1;2010;402828;400 mil - 600 mil
Semi-Árido Nordeste II;17;2010;407928;400 mil - 600 mil
Extremo Sul;7;2010;416859;400 mil - 600 mil
Sertão Produtivo;13;2000;421076;400 mil - 600 mil
Sertão Produtivo;13;2010;444666;400 mil - 600 mil
Sertão do São Francisco;10;2000;447255;400 mil - 600 mil
Litoral Norte e Agreste Baiano;18;1991;489992;400 mil - 600 mil
Recôncavo;21;1991;491041;400 mil - 600 mil
Sertão do São Francisco;10;2010;494431;400 mil - 600 mil
Sisal;4;1991;529160;400 mil - 600 mil
Recôncavo;21;2000;539929;400 mil - 600 mil
Sisal;4;2000;552713;400 mil - 600 mil
Litoral Norte e Agreste Baiano;18;2000;561199;400 mil - 600 mil
Recôncavo;21;2010;576672;400 mil - 600 mil
Sisal;4;2010;582329;400 mil - 600 mil
Sudoeste Baiano;20;1991;618460;600 mil - 800 mil
Litoral Norte e Agreste Baiano;18;2010;628236;600 mil - 800 mil
Portal do Sertão;19;1991;683224;600 mil - 800 mil
Sudoeste Baiano;20;2010;695302;600 mil - 800 mil
Sudoeste Baiano;20;2000;710191;600 mil - 800 mil
Litoral Sul;5;2010;772683;600 mil - 800 mil
Portal do Sertão;19;2000;775268;600 mil - 800 mil
Litoral Sul;5;2000;843901;800 mil - 1 milhão
Litoral Sul;5;1991;867653;800 mil - 1 milhão
Portal do Sertão;19;2010;872780;800 mil - 1 milhão
Metropolitana de Salvador;26;1991;2485174;Mais de 1 milhão
Metropolitana de Salvador;26;2000;3005667;Mais de 1 milhão
Metropolitana de Salvador;26;2010;3438844;Mais de 1 milhão
